新大阪	しんおおさか	大阪府大阪市淀川区西中島５−１６−１
新神戸	しんこうべ	兵庫県神戸市中央区加納町一丁目
西明石	にしあかし	兵庫県明石市小久保二丁目７−２０
姫路	ひめじ	兵庫県姫路市駅前町１８８−１
相生	あいおい	兵庫県相生市本郷町
岡山	おかやま	岡山県岡山市北区駅元町１−１
新倉敷	しんくらしき	岡山県倉敷市玉島爪崎３９０−４
福山	ふくやま	広島県福山市三之丸町３０−１
新尾道	しんおのみち	広島県尾道市栗原町９３８１−４
三原	みはら	広島県三原市城町１丁目１−１
東広島	ひがしひろしま	広島県東広島市三永１丁目４−２４
広島	ひろしま	広島県広島市南区松原町
新岩国	しんいわくに	山口県岩国市御庄１０５５−１
徳山	とくやま	山口県周南市御幸通り２丁目２８
新山口	しんやまぐち	山口県山口市小郡令和一丁目
厚狭	あさ	山口県山陽小野田市厚狭沖田８−３
新下関	しんしものせき	山口県下関市秋根南町１丁目１１−１
小倉	こくら	福岡県北九州市小倉北区浅野１丁目１−１
博多	はかた	福岡県福岡市博多区博多駅中央街１−１
