東京	とうきょう	東京都千代田区丸の内１丁目
品川	しながわ	東京都港区高輪３丁目および東京都港区港南２丁目
新横浜	しんよこはま	神奈川県横浜市港北区篠原町２９３７
小田原	おだわら	神奈川県小田原市城山１丁目１−１
熱海	あたみ	静岡県熱海市田原本町１１−１１
三島	みしま	静岡県三島市一番町１６−１
新富士	しんふじ	静岡県富士市川成島
静岡	しずおか	静岡県静岡市葵区黒金町５０番地
掛川	かけがわ	静岡県掛川市南１丁目１−１
浜松	はままつ	静岡県浜松市中区砂山町６−２
豊橋	とよはし	愛知県豊橋市花田町西宿
三河安城	みかわあんじょう	愛知県安城市三河安城町１−１７−１
名古屋	なごや	愛知県名古屋市中村区名駅一丁目１番４号
岐阜羽島	ぎふはしま	岐阜県羽島市福寿町平方６４５−１
米原	まいばら	滋賀県米原市米原
京都	きょうと	京都府京都市下京区東塩小路釜殿町
新大阪	しんおおさか	大阪府大阪市淀川区西中島５−１６−１
