博多	はかた	福岡県福岡市博多区博多駅中央街１−１
博多南	はかたみなみ	福岡県春日市上白水八丁目１６６
新鳥栖	しんとす	佐賀県鳥栖市原古賀町３０２−２
久留米	くるめ	福岡県久留米市城南町２−２１
筑後船小屋	ちくごふなごや	福岡県筑後市津島東１０８８−２
新大牟田	しんおおむた	福岡県大牟田市大字岩本２５０９−３
新玉名	しんたまな	熊本県玉名市玉名１２２９−３
熊本	くまもと	熊本県熊本市西区春日３丁目１５−４０
新八代	しんやつしろ	熊本県八代市上日置町４７７４−２
新水俣	しんみなまた	熊本県水俣市初野３０５
出水	いずみ	鹿児島県出水市上鯖淵７１７−２
川内	せんだい	鹿児島県薩摩川内市鳥追町１−１
鹿児島中央	かごしまちゅうおう	鹿児島県鹿児島市中央町１−１
